episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
90,0,-7480,500,-5646.344444444445,1203,0,0,4.0,0.029049604402648078
91,0,-7475,500,-5666.43956043956,1192,0,0,4.5,0.029472357895639206
92,0,-7475,500,-5686.097826086957,1216,0,0,5.5,0.02980879180961185
93,0,-7480,500,-5705.387096774193,1218,0,0,4.5,0.03017781178156535
94,0,-7470,500,-5724.159574468085,1204,0,0,6.5,0.030570458438661362
95,0,-7470,500,-5742.5368421052635,1214,0,0,5.5,0.03092584126525455
96,0,-7465,500,-5760.479166666667,1200,0,0,3.0,0.03130542748504215
97,0,-7455,500,-5777.948453608247,1197,0,0,5.5,0.03164009875721402
98,0,-7475,500,-5795.265306122449,1180,0,0,-1.5,0.032088497281074525
99,0,-7480,500,-5812.282828282829,1158,0,0,-2.0,0.032457114921675786
100,0,-7460,500,-5828.76,1218,0,0,-1.0,0.03280923141373528
101,0,-7464,500,-5892.82,1231,0,0,0.6000000000003638,0.03344270235962338
102,0,-7465,500,-5947.92,1177,0,0,1.1000000000003638,0.03386362254619599
103,0,-7470,500,-6018.25,1183,0,0,3.600000000000364,0.03427990900145637
104,0,-7475,500,-6085.81,1228,0,0,2.100000000000364,0.03465631822745005
105,0,-7465,500,-6154.25,1162,0,0,2.600000000000364,0.03507962021562788
106,0,-7470,500,-6214.23,1196,0,0,2.600000000000364,0.03549275908205244
107,0,-7490,500,-6285.34,1149,0,0,-3.399999999999636,0.035843975610203214
108,0,-7465,500,-6353.29,1210,0,0,1.1000000000003638,0.036277460124757556
109,0,-7470,500,-6422.26,1209,0,0,3.100000000000364,0.03667763822608524
110,0,-7475,500,-6492.05,1163,0,0,-0.3999999999996362,0.0370310507218043
111,0,-7450,500,-6561.1,1192,0,0,-0.1000000000003638,0.037442950473891366
112,0,-7480,500,-6633.12,1227,0,0,-2.600000000000364,0.03783803893460168
113,0,-7455,500,-6700.02,1186,0,0,-2.100000000000364,0.03825480335288577
114,0,-7480,500,-6771.88,1187,0,0,-2.100000000000364,0.03859634326563941
115,0,-7445,500,-6819.07,1209,0,0,-0.6000000000003638,0.03893766389952766
116,0,-7475,500,-6888.05,1231,0,0,-0.6000000000003638,0.039389312002393935
117,0,-7478,500,-6960.45,1197,0,0,4.099999999999454,0.03975876702202691
118,0,-7455,500,-7016.83,1211,0,0,4.099999999999454,0.04015335222085317
119,0,-7475,500,-7082.68,1220,0,0,2.5999999999994543,0.04054642915725708
120,0,-7475,500,-7142.0,1185,0,0,4.099999999999454,0.04095462653372023
121,0,-7465,500,-7212.04,1199,0,0,1.199999999999818,0.041352183752589755
122,0,-7475,500,-7274.32,1190,0,0,3.199999999999818,0.041698838207456804
123,0,-7455,500,-7330.29,1206,0,0,1.699999999999818,0.04211796012189653
124,0,-7480,500,-7398.99,1204,0,0,2.199999999999818,0.04248295386632284
125,0,-7465,500,-7470.7,1204,0,0,-1.800000000000182,0.04281908412774404
126,0,-7480,500,-7470.72,1214,0,0,-1.800000000000182,0.043192527823978
127,0,-7470,500,-7470.82,1171,0,0,-2.199999999999818,0.043564613660176596
128,0,-7460,500,-7470.67,1177,0,0,-3.699999999999818,0.04396029313405355
129,0,-7480,500,-7470.72,1161,0,0,-3.699999999999818,0.04429380403624641
130,0,-7485,500,-7470.92,1169,0,0,-4.699999999999818,0.04466648419698079
131,0,-7480,500,-7470.92,1199,0,0,-4.699999999999818,0.045103876921865675
132,0,-7457,500,-7470.64,1203,0,0,-3.399999999999636,0.04547445019086202
133,0,-7475,500,-7470.59,1191,0,0,-5.399999999999636,0.04588488592041863
134,0,-7480,500,-7470.64,1213,0,0,-5.399999999999636,0.04626840326521132
135,0,-7470,500,-7470.59,1132,0,0,-3.899999999999636,0.046678869260682
136,0,-7465,500,-7470.62,1253,0,0,-1.8999999999996362,0.04709103027979533
137,0,-7440,500,-7470.37,1177,0,0,0.3000000000001819,0.04742611236042447
138,0,-7455,500,-7470.22,1209,0,0,1.300000000000182,0.04782523261176215
139,0,-7475,500,-7470.17,1180,0,0,2.300000000000182,0.048202330470085146
140,0,-7470,500,-7470.22,1207,0,0,4.800000000000182,0.048546151982413396
141,0,-7470,500,-7470.32,1212,0,0,7.300000000000182,0.048924573726124236
142,0,-7455,500,-7470.07,1145,0,0,5.699999999999818,0.0492986226744122
143,0,-7485,500,-7470.27,1228,0,0,6.699999999999818,0.04972188161479102
144,0,-7465,500,-7470.32,1186,0,0,8.199999999999818,0.050075371662775675
145,0,-7465,500,-7470.12,1225,0,0,9.199999999999818,0.050458399719662136
146,0,-7490,500,-7470.27,1218,0,0,5.199999999999818,0.050860828823513456
147,0,-7475,500,-7470.37,1193,0,0,-1.300000000000182,0.051217804882261485
148,0,-7475,500,-7470.22,1195,0,0,-3.800000000000182,0.05158904102113512
149,0,-7475,500,-7470.57,1209,0,0,-4.300000000000182,0.05192175587018331
150,0,-7475,500,-7470.57,1182,0,0,-6.300000000000182,0.05233150919278463
151,0,-7437,500,-7470.09,1204,0,0,-4.0,0.052716264194912384
152,0,-7480,500,-7470.16,1233,0,0,-6.699999999999818,0.05305574119091034
153,0,-7455,500,-7470.01,1201,0,0,-2.699999999999818,0.05346815334426032
154,0,-7460,500,-7469.96,1217,0,0,-3.699999999999818,0.0538493150472641
155,0,-7480,500,-7470.16,1233,0,0,-5.699999999999818,0.05422976003752814
156,0,-7455,500,-7470.01,1178,0,0,0.3000000000001819,0.05460172103510963
157,0,-7470,500,-7469.86,1236,0,0,4.300000000000182,0.055037502778900994
158,0,-7475,500,-7470.06,1204,0,0,6.300000000000182,0.05549075464407603
159,0,-7470,500,-7469.96,1203,0,0,6.800000000000182,0.055847851037979124
160,0,-7480,500,-7470.16,1173,0,0,6.800000000000182,0.05618488755491045
