episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
258,0,-221,21,-193.24,0,0,0,-0.8000000000000114,0.008876677883995904
259,0,-216,21,-193.25,0,0,0,1.299999999999983,0.00889886286523607
260,0,-182,17,-193.27,0,0,0,1.5,0.008915931118859185
261,0,-156,16,-193.07,0,0,0,5.0,0.008927982449531555
262,0,-215,20,-193.45,0,0,0,8.5,0.008946563402811686
263,0,-170,16,-193.0,0,0,0,5.5,0.00896405213409
264,0,-194,19,-192.77,0,0,0,8.799999999999983,0.009001748230722216
265,0,-210,20,-193.15,0,0,0,7.199999999999989,0.009023939304881625
266,0,-183,18,-193.1,0,0,0,-0.30000000000001137,0.009044010043144226
267,0,-193,18,-193.09,0,0,0,0.6999999999999886,0.009070834120114644
268,0,-183,18,-193.27,0,0,0,5.100000000000023,0.009092729025416904
269,0,-171,16,-193.16,0,0,0,9.700000000000017,0.009110851022932265
270,0,-150,15,-192.08,0,0,0,12.800000000000011,0.009126142594549391
271,0,-183,18,-192.08,0,0,0,5.900000000000006,0.009143273168139987
272,0,-182,17,-192.07,0,0,0,10.199999999999989,0.009164750112427605
273,0,-194,19,-192.19,0,0,0,7.599999999999994,0.009183842407332526
274,0,-172,17,-191.98,0,0,0,9.300000000000011,0.00920480211575826
275,0,-183,18,-191.38,0,0,0,11.400000000000006,0.009222297602229649
276,0,-177,17,-191.33,0,0,0,14.699999999999989,0.009241374135017395
277,0,-205,20,-191.83,0,0,0,14.0,0.009261045654614766
278,0,-183,18,-191.56,0,0,0,10.199999999999989,0.009273996286922031
279,0,-216,21,-191.89,0,0,0,1.1999999999999886,0.009293643368615044
280,0,-172,17,-191.95,0,0,0,-4.199999999999989,0.009311324093076917
281,0,-172,17,-191.97,0,0,0,-0.4000000000000057,0.009329303767946032
282,0,-194,19,-191.69,0,0,0,-4.900000000000006,0.009351522194014656
283,0,-194,19,-191.26,0,0,0,-2.5,0.00937660687499576
284,0,-172,17,-190.83,0,0,0,-4.700000000000017,0.009398164749145508
285,0,-204,19,-191.1,0,0,0,-9.5,0.009418830341762966
286,0,-188,18,-191.32,0,0,0,-11.199999999999989,0.009439590639538234
287,0,-193,18,-191.31,0,0,0,-8.800000000000011,0.009460294710265266
288,0,-160,15,-191.08,0,0,0,-6.5,0.009475623302989535
289,0,-172,17,-190.42,0,0,0,2.4000000000000057,0.009495212237040201
290,0,-227,22,-190.53,0,0,0,-0.9000000000000057,0.009527252515157065
291,0,-210,20,-190.53,0,0,0,-5.800000000000011,0.00955010751883189
292,0,-179,19,-190.85,0,0,0,-3.0999999999999943,0.009570915500322979
293,0,-205,20,-191.3,0,0,0,-4.199999999999989,0.009596152173148262
294,0,-259,24,-192.07,0,0,0,-12.899999999999977,0.009631624420483906
295,0,-182,17,-192.06,0,0,0,-8.599999999999994,0.009656584593984816
296,0,-216,21,-192.62,0,0,0,-10.300000000000011,0.00968717376391093
297,0,-177,17,-192.13,0,0,0,-9.899999999999977,0.009710087709956699
298,0,-162,17,-191.97,0,0,0,-12.400000000000006,0.009727165831459893
299,0,-160,15,-190.97,0,0,0,-15.599999999999994,0.009746716154946222
300,0,-171,16,-190.64,0,0,0,-4.5,0.00976723810036977
301,0,-170,18,-190.41,2,0,0,3.3000000000000114,0.009796416627036201
302,0,-183,18,-190.76,0,0,0,1.4000000000000057,0.009823123216629029
303,0,-204,19,-190.64,0,0,0,2.5999999999999943,0.009846261474821302
304,0,-227,22,-191.03,0,0,0,14.5,0.009871173434787326
305,0,-165,16,-190.91,0,0,0,14.0,0.009889609813690185
306,0,-194,19,-191.03,0,0,0,19.0,0.009909524917602539
307,0,-205,20,-191.04,0,0,0,14.599999999999994,0.009932077990637885
308,0,-177,17,-190.65,0,0,0,13.300000000000011,0.009951458705796137
309,0,-172,17,-190.21,0,0,0,10.899999999999977,0.009968215690718757
310,0,-193,18,-190.2,0,0,0,3.0999999999999943,0.009986316296789382
311,0,-194,19,-190.14,0,0,0,-3.3000000000000114,0.0100042904747857
312,0,-194,19,-190.15,0,0,0,-4.0,0.010024864541159736
313,0,-171,16,-190.25,0,0,0,-0.799999999999983,0.01004662533601125
314,0,-205,20,-190.15,0,0,0,-1.8000000000000114,0.010064882106251187
315,0,-194,19,-190.1,0,0,0,-6.400000000000006,0.010088007715013293
316,0,-161,16,-190.0,0,0,0,-5.299999999999983,0.010107887188593546
317,0,-182,17,-189.84,0,0,0,-0.20000000000001705,0.0101247990793652
318,0,-213,22,-190.15,2,0,0,-2.3000000000000114,0.010149364405208163
319,0,-161,16,-189.71,0,0,0,0.0,0.010164665910932753
320,0,-204,19,-189.71,0,0,0,1.0999999999999943,0.010181426737043593
321,0,-202,20,-189.79,3,0,0,2.700000000000017,0.010199659731653002
322,0,-183,18,-189.91,0,0,0,4.900000000000006,0.010218253996637132
323,0,-227,22,-190.36,0,0,0,-4.0,0.010244311028056674
324,0,-193,18,-190.51,0,0,0,-5.0,0.010263572732607524
325,0,-194,19,-190.77,0,0,0,-2.0999999999999943,0.010302394164933098
326,0,-183,18,-190.6,0,0,0,-7.599999999999994,0.010329036513964334
327,0,-160,15,-190.32,0,0,0,-7.699999999999989,0.010346444977654351
328,0,-254,24,-190.97,0,0,0,-8.199999999999989,0.010375880665249295
329,0,-172,17,-190.98,0,0,0,-10.399999999999977,0.010411342846022712
330,0,-200,20,-191.09,0,0,0,-8.900000000000006,0.010448671446906196
331,0,-183,18,-190.99,0,0,0,-6.200000000000017,0.010467561218473646
332,0,-212,21,-191.61,3,0,0,-10.200000000000017,0.01049053344461653
333,0,-160,15,-191.39,0,0,0,2.0999999999999943,0.010508683588769701
334,0,-194,19,-191.39,0,0,0,0.8000000000000114,0.010530071788363987
335,0,-183,18,-191.18,0,0,0,1.9000000000000057,0.010550576779577468
336,0,-199,19,-191.34,0,0,0,2.5,0.010571655366155836
337,0,-194,19,-191.01,0,0,0,-3.0999999999999943,0.010594312151273091
338,0,-176,17,-190.23,2,0,0,8.799999999999983,0.010626283552911547
339,0,-194,19,-190.24,0,0,0,7.699999999999989,0.010661883023050097
340,0,-221,21,-190.63,0,0,0,5.200000000000017,0.010694414575894673
341,0,-162,17,-190.2,0,0,0,5.400000000000006,0.010717063148816427
342,0,-205,20,-190.65,0,0,0,9.0,0.01074097454547882
343,0,-237,22,-190.98,0,0,0,-5.400000000000006,0.010768006642659506
344,0,-188,18,-191.15,0,0,0,-4.700000000000017,0.010788857009675768
