episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
95,380,0,4,0.0,0,0,0,0.0,6.0258971320258245e-05
96,384,0,4,0.0,0,0,0,0.0,6.08148177464803e-05
97,388,0,4,0.0,0,0,0,0.0,6.136927339765761e-05
98,392,0,4,0.0,0,0,0,0.0,6.192531850602891e-05
99,396,0,4,0.0,0,0,0,0.0,6.234420670403374e-05
100,400,0,4,0.0,0,0,0,0.0,6.289952331119113e-05
101,404,0,4,0.0,0,0,0,0.0,6.401048766242133e-05
102,408,0,4,0.0,0,0,0,0.0,6.526582770877414e-05
103,412,0,4,0.0,0,0,0,0.0,6.610519356197781e-05
104,416,0,4,0.0,0,0,0,0.0,6.665335761176216e-05
105,420,0,4,0.0,0,0,0,0.0,6.720867421891954e-05
106,424,0,4,0.0,0,0,0,0.0,6.763133737776015e-05
107,428,0,4,0.0,0,0,0,0.0,6.847043832143148e-05
108,432,0,4,0.0,0,0,0,0.0,6.929927402072483e-05
109,436,0,4,0.0,0,0,0,0.0,6.985406080881755e-05
110,440,0,4,0.0,0,0,0,0.0,7.027155823177762e-05
111,444,0,4,0.0,0,0,0,0.0,7.082912656995986e-05
112,448,0,4,0.0,0,0,0,0.0,7.13837809032864e-05
113,452,0,4,0.0,0,0,0,0.0,7.193936241997613e-05
114,456,0,4,0.0,0,0,0,0.0,7.221698760986328e-05
115,460,0,4,0.0,0,0,0,0.0,7.2772569126553e-05
116,464,0,4,0.0,0,0,0,0.0,7.337417867448595e-05
117,468,0,4,0.0,0,0,0,0.0,7.420923974778917e-05
118,472,0,4,0.0,0,0,0,0.0,7.476607958475748e-05
119,476,0,4,0.0,0,0,0,0.0,7.532053523593479e-05
120,480,0,4,0.0,0,0,0,0.0,7.602049244774712e-05
121,484,0,4,0.0,0,0,0,0.0,7.657514678107368e-05
122,488,0,4,0.0,0,0,0,0.0,7.71307282977634e-05
123,492,0,4,0.0,0,0,0,0.0,7.768630981445312e-05
124,496,0,4,0.0,0,0,0,0.0,7.824195755852593e-05
125,500,0,4,0.0,0,0,0,0.0,7.893946435716417e-05
126,504,0,4,0.0,0,0,0,0.0,7.949650287628174e-05
127,508,0,4,0.0,0,0,0,0.0,8.005188571082221e-05
128,512,0,4,0.0,0,0,0,0.0,8.06075996822781e-05
129,516,0,4,0.0,0,0,0,0.0,8.088608582814534e-05
130,520,0,4,0.0,0,0,0,0.0,8.158710267808702e-05
131,524,0,4,0.0,0,0,0,0.0,8.214930693308512e-05
132,528,0,4,0.0,0,0,0,0.0,8.277548684014214e-05
133,532,0,4,0.0,0,0,0,0.0,8.333345254262288e-05
134,536,0,4,0.0,0,0,0,0.0,8.388572269015842e-05
135,540,0,4,0.0,0,0,0,0.0,8.415420850118e-05
136,544,0,4,0.0,0,0,0,0.0,8.477568626403808e-05
137,548,0,4,0.0,0,0,0,0.0,8.533649974399143e-05
138,552,0,4,0.0,0,0,0,0.0,8.57556528515286e-05
139,556,0,4,0.0,0,0,0,0.0,8.63113005956014e-05
140,560,0,4,0.0,0,0,0,0.0,8.697251478830974e-05
141,564,0,4,0.0,0,0,0,0.0,8.725153075324164e-05
142,568,0,4,0.0,0,0,0,0.0,8.795003096262614e-05
143,572,0,4,0.0,0,0,0,0.0,8.850071165296767e-05
144,576,0,4,0.0,0,0,0,0.0,8.87784030702379e-05
145,580,0,4,0.0,0,0,0,0.0,8.933378590477837e-05
146,584,0,4,0.0,0,0,0,0.0,8.998433748881022e-05
147,588,0,4,0.0,0,0,0,0.0,9.026209513346354e-05
148,592,0,4,0.0,0,0,0,0.0,9.08179415596856e-05
149,596,0,4,0.0,0,0,0,0.0,9.137286080254448e-05
150,600,0,4,0.0,0,0,0,0.0,9.192844231923421e-05
151,604,0,4,0.0,0,0,0,0.0,9.32083527247111e-05
152,608,0,4,0.0,0,0,0,0.0,9.377287493811714e-05
153,612,0,4,0.0,0,0,0,0.0,9.680940045250787e-05
154,616,0,4,0.0,0,0,0,0.0,9.736670388115778e-05
155,620,0,4,0.0,0,0,0,0.0,9.764426284366184e-05
156,624,0,4,0.0,0,0,0,0.0,9.834137227800157e-05
157,628,0,4,0.0,0,0,0,0.0,9.889788097805448e-05
158,632,0,4,0.0,0,0,0,0.0,9.973188241322835e-05
159,636,0,4,0.0,0,0,0,0.0,0.00010028739770253499
160,640,0,4,0.0,0,0,0,0.0,0.0001008426480823093
161,644,0,4,0.0,0,0,0,0.0,0.00010154664516448975
162,648,0,4,0.0,0,0,0,0.0,0.00010210467709435356
163,652,0,4,0.0,0,0,0,0.0,0.00010265979501936171
164,656,0,4,0.0,0,0,0,0.0,0.0001034929354985555
165,660,0,4,0.0,0,0,0,0.0,0.00010419170061747233
166,664,0,4,0.0,0,0,0,0.0,0.00010474675231509739
167,668,0,4,0.0,0,0,0,0.0,0.00010530147287580702
168,672,0,4,0.0,0,0,0,0.0,0.0001058568557103475
169,676,0,4,0.0,0,0,0,0.0,0.00010641356309254964
170,680,0,4,0.0,0,0,0,0.0,0.00010706921418507893
171,684,0,4,0.0,0,0,0,0.0,0.00010762512683868409
172,688,0,4,0.0,0,0,0,0.0,0.00010818050967322456
173,692,0,4,0.0,0,0,0,0.0,0.00010874158806271023
174,696,0,4,0.0,0,0,0,0.0,0.0001091599464416504
175,700,0,4,0.0,0,0,0,0.0,0.00010971983273824056
