episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
32,0,-1365,121,-977.53125,359,0,0,8.700000000000045,0.00425352328353458
33,0,-543,50,-964.3636363636364,122,0,0,-190.80000000000007,0.004370471172862583
34,0,-1565,148,-982.0294117647059,414,0,0,-342.5,0.004578059646818373
35,0,-582,59,-970.6,179,0,0,-364.80000000000007,0.004645580384466383
36,0,-451,38,-956.1666666666666,61,0,0,151.70000000000005,0.004690928988986545
37,0,-507,52,-944.027027027027,131,0,0,111.29999999999995,0.004759145114156935
38,0,-1537,150,-959.6315789473684,492,0,0,130.79999999999995,0.004943659769164191
39,0,-425,40,-945.9230769230769,111,0,0,103.70000000000005,0.005042039884461297
40,0,-1518,157,-960.225,444,0,0,135.89999999999998,0.005246379110548231
41,0,-828,79,-957.0,199,0,0,-42.200000000000045,0.005343675216039022
42,0,-322,34,-941.8809523809524,72,0,0,150.60000000000002,0.0053839888837602405
43,0,-349,37,-928.0930232558139,69,0,0,189.20000000000005,0.0054293601380454165
44,0,-276,23,-913.2727272727273,24,0,0,425.20000000000005,0.005461301737361484
45,0,-613,57,-906.6,115,0,0,411.80000000000007,0.005533238715595669
46,0,-842,85,-905.195652173913,202,0,0,116.19999999999993,0.00572144091129303
47,0,-661,64,-900.0,153,0,0,118.10000000000002,0.005807553397284614
48,0,-297,29,-887.4375,43,0,0,281.4,0.005843320422702365
49,0,-1691,168,-903.8367346938776,433,0,0,149.69999999999993,0.006050412721104092
50,0,-1079,108,-907.34,258,0,0,208.30000000000007,0.006184374425146315
51,0,-864,88,-906.4901960784314,235,0,0,232.70000000000005,0.006351584924591912
52,0,-976,98,-907.8269230769231,242,0,0,63.0,0.006484750111897786
53,0,-328,39,-896.8867924528302,116,0,0,45.69999999999993,0.00653561446401808
54,0,-655,66,-892.4074074074074,171,0,0,-121.10000000000002,0.006624663604630364
55,0,-463,57,-884.6,132,0,0,-103.0,0.00669949664009942
56,0,-577,59,-879.1071428571429,138,0,0,-37.39999999999998,0.006765166057480706
57,0,-444,45,-871.4736842105264,97,0,0,-0.2999999999999545,0.006821095546086629
58,0,-557,47,-866.051724137931,99,0,0,-150.29999999999995,0.006954263581169976
59,0,-960,96,-867.6440677966102,238,0,0,49.40000000000009,0.007077354126506382
60,0,-793,85,-866.4,231,0,0,34.09999999999991,0.007193491790029738
61,0,-587,54,-861.8196721311475,109,0,0,65.39999999999998,0.007264807025591532
62,0,-542,51,-856.6612903225806,97,0,0,174.19999999999993,0.007330862018797133
63,0,-1151,106,-861.3333333333334,282,0,0,89.80000000000007,0.007453727126121521
64,0,-427,44,-854.546875,106,0,0,150.5,0.007505902316835192
65,0,-844,91,-854.3846153846154,255,0,0,97.39999999999998,0.007675417529212104
66,0,-691,67,-851.9090909090909,191,0,0,59.5,0.0077555927303102285
67,0,-531,49,-847.1194029850747,87,0,0,29.100000000000023,0.007818778091006808
